GPU New Family Sweep
GPU device : NVIDIA H200 (compute capability 9.0)

Family        N         NNZ         AutoFam       AutoKern      Coalesced       RowBucketed     LevelAware      RandomAware     PowerLawAware   BlockAware      BandedAware     FamilyAware     LearnedAware    cuSPARSE        
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
random        1024      6228        random        RandomAware   132.6659        1.3082          0.7402          0.5301          0.5317          2.3586          1.3114          0.4545          0.5877          18.8657         
random        4096      87943       random        RandomAware   5.7657          5.5510          2.1633          1.0086          1.7129          22.1968         5.6380          1.2600          1.3723          3.9842          
random        16384     1358374     random        RandomAware   25.1404         24.7703         7.6954          4.7532          6.7509          452.5382        25.8270         10.5088         10.5056         10.7623         
random        32768     5401584     random        RandomAware   64.2839         62.9262         21.2142         16.6581         20.0565         2708.3621       66.3677         26.8113         43.9833         31.5068         

banded        1024      64480       banded        BandedAware   1.7098          1.5693          10.7730         5.4641          10.6882         3.5184          1.6046          1.6802          1.7788          11.0701         
banded        4096      264160      banded        BandedAware   5.9666          5.9255          42.8025         21.5706         42.3009         13.3465         5.9426          6.3187          6.6947          37.5637         
banded        16384     1062880     banded        BandedAware   23.0607         23.0042         169.8223        84.8954         166.3628        55.2685         23.5071         24.7681         26.1274         146.4326        
banded        32768     2127840     banded        BandedAware   46.0637         46.0328         342.9665        172.0311        331.1884        106.3777        46.3149         48.6198         51.2444         295.6837        

chain         1024      2047        chain         RowBucketed   1.7276          0.5843          10.0383         4.7644          10.0800         0.6857          1.4034          0.5746          0.5751          5.4878          
chain         4096      8191        chain         RowBucketed   5.0585          1.7373          39.9686         18.7464         40.1607         2.1421          5.0591          1.7568          1.7698          17.9086         
chain         16384     32767       chain         RowBucketed   19.7166         6.4451          158.8543        73.4708         158.8905        7.9981          19.7260         6.5024          6.5750          67.8483         
chain         32768     65535       chain         RowBucketed   39.2140         12.7104         314.4339        144.5736        314.2851        16.1266         39.2639         12.8120         12.9636         134.3096        

wide-level    1024      33264       wide-level    RandomAware   1.5638          1.5206          0.5837          0.4890          0.5732          2.4566          1.5458          0.4703          0.5216          3.6018          
wide-level    4096      134640      wide-level    RandomAware   5.6951          5.6377          0.7785          0.6164          0.7578          9.3824          5.6781          0.7971          1.0599          13.8143         
wide-level    16384     540144      wide-level    RandomAware   22.3230         22.2264         1.6395          1.4438          1.6269          37.9387         22.2997         2.3427          3.0650          50.6206         
wide-level    32768     1080816     wide-level    RandomAware   44.0854         43.9401         2.5410          2.2295          2.4403          77.2123         44.1150         4.1519          5.4147          98.9414         

block         1024      23048       block         RowBucketed   1.6755          1.3952          6.5537          2.9805          6.6868          2.7716          1.5507          1.4327          2.6615          4.2711          
block         4096      108193      block         RowBucketed   5.6987          5.4847          26.0696         9.5150          22.4517         13.4079         5.5469          5.7067          9.9061          15.3711         
block         16384     686696      block         RowBucketed   23.6183         25.0947         96.0622         40.5752         81.8268         122.7105        25.4328         26.2683         27.8302         69.6137         
block         32768     2044383     block         RowBucketed   49.5633         50.8192         176.6567        85.9024         159.3199        800.4627        52.7370         54.5424         59.9368         171.6741        

power-law     1024      1507        power-law     PowerLawAware 1.4418          0.5176          0.2751          0.3137          0.2630          1.0480          0.5182          0.2908          0.2769          1.4205          
power-law     4096      8266        power-law     PowerLawAware 5.3282          2.4211          0.4935          0.5075          0.3969          6.2124          2.4442          0.4795          0.5460          1.3780          
power-law     16384     49929       power-law     PowerLawAware 20.9170         18.2413         1.0891          0.7875          0.8011          31.4112         18.2565         1.1555          1.4427          1.7671          
power-law     32768     127933      power-law     PowerLawAware 43.7805         45.3383         1.8231          1.4548          1.3464          67.0961         45.5571         2.2316          2.9168          2.0445          

