GPU New Family Sweep
GPU device : Tesla P100-PCIE-12GB (compute capability 6.0)

Family        N         NNZ         AutoFam       AutoKern      Coalesced       RowBucketed     LevelAware      RandomAware     PowerLawAware   BlockAware      BandedAware     FamilyAware     LearnedAware    cuSPARSE        
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
random        1024      6228        random        RandomAware   171.3580        2.0748          0.9704          3.9990          0.6787          4.1027          2.0352          0.6449          0.7659          30.8396         
random        4096      87943       random        RandomAware   13.7020         9.4071          2.6511          1.3149          2.1333          42.1713         9.6176          1.5830          1.8666          2.3421          
random        16384     1358374     random        RandomAware   63.2242         58.9658         10.5820         8.2002          9.7805          632.0924        55.1985         11.2788         14.4113         14.6746         
random        32768     5401584     random        RandomAware   141.5638        130.1873        28.7217         23.6689         27.0556         3679.2377       130.0683        35.5663         58.8916         46.1470         

banded        1024      64480       banded        BandedAware   3.5162          3.4040          13.8350         7.6859          13.0737         8.1730          3.4863          3.6535          3.8154          12.7344         
banded        4096      264160      banded        BandedAware   13.9280         13.7762         55.4661         30.7188         52.3644         31.9803         13.9740         14.6115         15.1844         51.7633         
banded        16384     1062880     banded        BandedAware   56.6520         56.3140         223.2405        123.8104        208.8739        129.3644        56.6592         59.2332         61.4299         217.0973        
banded        32768     2127840     banded        BandedAware   113.0075        112.1957        445.1375        246.1456        423.1324        272.2574        113.1043        118.0192        122.4404        441.4379        

chain         1024      2047        chain         RowBucketed   3.2159          1.1488          11.5723         5.3997          11.2619         1.3984          3.1846          1.1562          1.1625          8.0067          
chain         4096      8191        chain         RowBucketed   11.8609         3.7328          45.2262         20.4740         43.6146         4.7109          11.8857         3.7723          3.8091          30.3974         
chain         16384     32767       chain         RowBucketed   46.5794         14.1367         180.1413        80.5039         171.4822        18.0127         46.6261         14.2532         14.3564         120.4117        
chain         32768     65535       chain         RowBucketed   92.8358         27.9570         359.6905        162.0448        344.2133        36.1269         92.9521         28.1727         28.4217         240.9991        

wide-level    1024      33264       wide-level    RandomAware   3.2150          3.1544          0.7907          0.6403          0.8089          5.5281          3.2340          0.7022          0.7904          3.7003          
wide-level    4096      134640      wide-level    RandomAware   11.9603         11.8633         1.1784          0.9494          1.1560          21.3978         12.0091         1.2664          1.5908          13.2480         
wide-level    16384     540144      wide-level    RandomAware   51.6633         51.4818         3.1255          2.7848          3.1112          89.5782         51.8450         4.0283          5.3327          53.6323         
wide-level    32768     1080816     wide-level    RandomAware   103.3522        102.8239        4.9796          4.3672          4.9492          180.2642        106.9317        7.1604          9.6095          112.6947        

block         1024      23048       block         RowBucketed   3.3636          2.3356          7.6775          3.4004          6.7835          5.7908          3.3619          2.3977          3.6424          5.4091          
block         4096      108193      block         RowBucketed   12.6481         9.2185          30.9180         11.7401         26.4774         27.6485         9.3416          9.5327          12.3391         21.2609         
block         16384     686696      block         RowBucketed   55.6772         51.1999         120.3403        72.6927         102.1447        213.6766        51.6849         52.9048         55.1196         101.5375        
block         32768     2044383     block         RowBucketed   117.3529        109.5712        222.7429        160.2458        196.7288        899.3737        110.7382        114.2649        120.3465        242.4442        

power-law     1024      1507        power-law     PowerLawAware 3.0454          0.8854          0.3878          0.4616          0.3909          1.6291          0.8832          2.5609          0.4491          0.5991          
power-law     4096      8266        power-law     PowerLawAware 11.4714         3.8622          0.6478          0.5764          0.5499          9.2569          3.8914          0.6289          0.7165          0.6891          
power-law     16384     49929       power-law     PowerLawAware 46.3656         26.1071         1.2082          1.0547          1.0248          49.1103         26.2740         1.3794          1.8046          1.1595          
power-law     32768     127933      power-law     PowerLawAware 94.2003         63.7699         2.3103          1.9318          1.8522          106.8938        64.1100         2.7451          3.6139          1.8817          

