GPU RTX 4070 Mobile Real LearnedAware vs cuSPARSE

Family             Matrix               N          NNZ          LearnedAware   cuSPARSE       Speedup     
---------------------------------------------------------------------------------------------------------------
random_irregular   ASIC_100k            99340      526789       11.3051        37.9763        3.3592      
banded             LFAT5000             19994      49980        11.8318        22.2376        1.8795      
chain_like         poli                 4008       4348         1.6006         1.7280         1.0796      
wide_level         web-Stanford         281903     1413271      32.8348        20.0186        0.6097      
block_structured   circuit204           1020       3795         1.4896         1.3775         0.9247      
power_law          soc-sign-epinions    131828     593597       34.9671        14.2716        0.4081      
extra              msc04515             4515       51111        5.9140         3.7404         0.6325      
extra              pwtk                 217918     5926171      540.9935       995.1217       1.8394      
extra              helm2d03             392257     1567096      22.9520        20.8128        0.9068      
extra              apache1              80800      311492       63.6688        5.9617         0.0936      
extra              bcsstk13             2003       42943        5.0303         5.8585         1.1646      
extra              bcsstk14             1806       32630        5.9897         7.1939         1.2010      
extra              bcsstk17             10974      219812       46.1472        23.8514        0.5169      
extra              bcsstk18             11948      80519        94.4103        4.3444         0.0460      
extra              bcsstk27             1224       28675        3.9841         8.2235         2.0641      
extra              bcsstm22             138        138          2.9840         3.6750         1.2316      
extra              scircuit             170998     565030       180.7007       13.7900        0.0763      
extra              fv1                  9604       47434        8.1773         2.7176         0.3323      
extra              fv2                  9801       48413        24.8431        4.9986         0.2012      
extra              fv3                  9801       48413        12.9853        4.1555         0.3200      
extra              EPA                  4772       7138         6.9527         2.7713         0.3986      
extra              ca-GrQc              5242       19726        12.9014        1.4915         0.1156      
extra              email-Enron          36692      220523       29.1374        10.4118        0.3573      
extra              soc-Epinions1        75888      363549       24.4498        11.3534        0.4644      
extra              roadNet-CA           1971281    4737888      145.9328       38.0985        0.2611      
extra              wiki-Vote            8297       40953        24.8183        3.6477         0.1470      
extra              ASIC_680k            682862     2277355      132.7710       259.8893       1.9574      
very_large         web-BerkStan         685230     4425244      264.1345       181.2733       0.6863      
very_large         roadNet-TX           1393383    3315043      112.1329       38.4327        0.3427      
very_large         wiki-Talk            2394385    3072221      113.8709       80.9221        0.7106      
