GPU New Family Sweep
GPU device : NVIDIA GeForce RTX 4070 Laptop GPU (compute capability 8.9)

Family        N         NNZ         AutoFam       AutoKern      Coalesced       RowBucketed     LevelAware      RandomAware     PowerLawAware   BlockAware      BandedAware     FamilyAware     LearnedAware    cuSPARSE        
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
random        1024      6228        random        RandomAware   148.3191        3.7346          3.8989          3.7021          2.0814          4.0584          2.9313          1.6405          2.8703          34.3580         
random        4096      87943       random        RandomAware   11.2575         12.7547         9.4985          4.0028          5.6536          26.1317         12.1160         4.1891          3.4374          2.9797          
random        16384     1358374     random        RandomAware   48.9041         50.2856         28.6577         16.5212         24.8956         417.6937        36.2358         17.7218         17.4562         11.4978         
random        32768     5401584     random        RandomAware   107.4696        118.4262        76.6663         26.7377         48.0236         2138.1927       103.5261        36.4943         49.4507         36.2502         

banded        1024      64480       banded        BandedAware   3.0908          2.4737          42.0390         14.5442         46.1512         4.2492          2.5642          2.4340          3.2465          7.9718          
banded        4096      264160      banded        BandedAware   9.3144          8.7798          175.8365        55.7536         176.2944        29.8029         9.9717          9.8305          8.7222          31.9585         
banded        16384     1062880     banded        BandedAware   35.5311         33.4013         665.6002        248.9415        674.7636        61.4733         30.8604         32.6131         33.4443         106.5607        
banded        32768     2127840     banded        BandedAware   63.3383         61.6249         1374.5317       567.5776        1471.4454       154.8780        78.4681         67.9405         66.3127         218.0033        

chain         1024      2047        chain         RowBucketed   2.4059          1.3679          39.2959         12.0195         35.8054         1.5776          2.1377          1.4493          1.5064          4.2529          
chain         4096      8191        chain         RowBucketed   6.4048          2.7365          161.5490        50.0668         194.0436        3.8183          6.5791          2.7002          2.7145          14.3665         
chain         16384     32767       chain         RowBucketed   26.2997         7.8043          633.8345        519.0260        1978.4475       9.7693          25.2903         7.8068          8.1594          50.5261         
chain         32768     65535       chain         RowBucketed   47.8877         14.6978         1226.0389       474.7459        1375.4312       25.1832         57.0902         17.8223         14.5543         99.8529         

wide-level    1024      33264       wide-level    RandomAware   2.7492          2.4985          2.5968          1.6321          2.3049          3.3821          2.4046          1.5362          1.3984          2.9628          
wide-level    4096      134640      wide-level    RandomAware   7.9529          6.8922          2.2673          1.7837          2.6350          10.4402         7.3717          2.6417          2.0945          9.3033          
wide-level    16384     540144      wide-level    RandomAware   27.0836         27.3732         4.5154          3.2509          4.3975          93.4465         33.5038         4.1739          4.9676          43.6531         
wide-level    32768     1080816     wide-level    RandomAware   67.4614         94.4180         9.7283          4.9046          5.3659          106.4263        59.1032         6.3179          7.3540          63.0716         

block         1024      23048       block         RowBucketed   2.5724          2.3368          28.1426         6.7872          19.3466         3.4885          2.4458          3.3673          9.7028          3.5608          
block         4096      108193      block         RowBucketed   8.2735          9.7515          92.1025         24.8502         75.6395         14.3974         9.2294          8.5915          35.4063         11.9131         
block         16384     686696      block         RowBucketed   31.6775         31.5077         339.8615        189.4748        551.5055        165.5321        34.3918         44.5145         44.4096         58.5389         
block         32768     2044383     block         RowBucketed   318.9929        78.4127         655.7327        434.3986        645.4331        642.2133        67.7790         67.0977         78.3766         149.4733        

power-law     1024      1507        power-law     PowerLawAware 2.5413          1.3828          0.8997          1.0113          0.8413          2.1618          1.1385          3.3773          1.0876          1.0108          
power-law     4096      8266        power-law     PowerLawAware 7.0353          5.2891          3.5503          1.7150          2.5323          17.7291         4.0741          1.8572          1.4541          0.9728          
power-law     16384     49929       power-law     PowerLawAware 25.6389         31.7687         5.9122          1.8314          2.6337          60.8308         37.1959         2.3729          2.6232          1.6093          
power-law     32768     127933      power-law     PowerLawAware 165.9889        143.9434        4.3157          4.2214          3.6087          98.0399         90.2507         4.3200          4.1614          2.2267          

