GPU RTX 4070 Mobile Synthetic LearnedAware vs cuSPARSE

Family         N          NNZ          LearnedAware   cuSPARSE       Speedup     
--------------------------------------------------------------------------------
random         1024       6228         2.8703         34.3580             11.9702
random         4096       87943        3.4374         2.9797               0.8668
random         16384      1358374      17.4562        11.4978              0.6587
random         32768      5401584      49.4507        36.2502              0.7331
banded         1024       64480        3.2465         7.9718               2.4555
banded         4096       264160       8.7222         31.9585              3.6640
banded         16384      1062880      33.4443        106.5607             3.1862
banded         32768      2127840      66.3127        218.0033             3.2875
chain          1024       2047         1.5064         4.2529               2.8232
chain          4096       8191         2.7145         14.3665              5.2925
chain          16384      32767        8.1594         50.5261              6.1924
chain          32768      65535        14.5543        99.8529              6.8607
wide-level     1024       33264        1.3984         2.9628               2.1187
wide-level     4096       134640       2.0945         9.3033               4.4418
wide-level     16384      540144       4.9676         43.6531              8.7876
wide-level     32768      1080816      7.3540         63.0716              8.5765
block          1024       23048        9.7028         3.5608               0.3670
block          4096       108193       35.4063        11.9131              0.3365
block          16384      686696       44.4096        58.5389              1.3182
block          32768      2044383      78.3766        149.4733             1.9071
power-law      1024       1507         1.0876         1.0108               0.9294
power-law      4096       8266         1.4541         0.9728               0.6690
power-law      16384      49929        2.6232         1.6093               0.6135
power-law      32768      127933       4.1614         2.2267               0.5351
